Sentiment,Text Tweet
positive,ada banyak fitur  dari Kartu Perdana <PROVIDER_NAME> yg udah 4.5G <PROVIDER_NAME>Youtube1tahun <PROVIDER_NAME>_Jabo <USER_MENTION>
positive,"Hari minggu masuk kerja tapi gak ada yang dikerjain, ujung2nya mencari lapak terus rebahan sambil denger musik di youtube. <PROVIDER_NAME> top deh"
positive,Sekarang enak belanja online. Sinyal kuat dan kencang pakai <PROVIDER_NAME>. 
positive,Mantap! Paket <PRODUCT_NAME> dari <PROVIDER_NAME> bikin mupeng. Banyak <PRODUCT_NAME>nya! 
positive,Selain bonus THR dapat bonus dari <PROVIDER_NAME> yang begini nih yang bikin hati senang juga.. 
positive,"Pagi ini saya sahur di Purwakarta, dan disini sinyal <PROVIDER_NAME> nya bagus banget"
positive,"Astaga udah sore aja. Keasyikan main hape. Sinyal lancar, hebat emang <PROVIDER_NAME>"
positive,"Kadang, saya juga cari referensi di youtube yang merupakan gudang informasi keren. <PROVIDER_NAME> youtube an tanpa kuota bisa streaming lancar"
positive,belajar mengedit video di youtube jadi enak dan cepat paham kalo jaringan <PROVIDER_NAME> lancar dan kencang begini.
positive,"Tethering pakai kartu <PROVIDER_NAME> sinyalnya kencang badai, apalagi kalau lagi browsing"" mencari bahan artikel. Dijamin lancar."
negative,Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME>
negative,Ayo yang masih pakai kartu <PROVIDER_NAME> Segera buang ke Got ya
negative,#Boikot<PROVIDER_NAME>..saatnya hijrah ke ..selamat tinggal <PROVIDER_NAME>..
positive,Alhamdulillah Kuota <PROVIDER_NAME> banyak yang murah
negative,"Sudah tarifnya paling mahal, ditambah jaringan yang semakin hari semakin susah! <PROVIDER_NAME> mengesalkan banget "
negative,"<PROVIDER_NAME> Pulsanya masih ada, TM masih banyak, mau nelpon ke sesama simpati katanya pulsa gak cukup, kampret ini <PROVIDER_NAME> "
positive,Tiba-tiba ada sinyal 4g di rumahku.  Biasanya gak ada.. lancar juga. <PROVIDER_NAME>
negative,"Tadinya berharap paling bagus untuk kerja online,Ternyata internetnya tidak seSimpati namanya <PROVIDER_NAME> <URL>"
negative,Jaringan internet <PROVIDER_NAME> di sumba timur parah....
negative,Kualitas jaringan <PROVIDER_NAME> sangat menurun di wilayah Sukabumi.
negative,Ternyata tidak cuma saya yang mengeluh karena sinyal atau pelayanan <PROVIDER_NAME> dalam jaringan internet masih kurang
negative,"Sudah tengah malam, jaringan kok masih super lelet <PROVIDER_NAME> gak berkualitas"
negative,Sinyal <PROVIDER_NAME> yang sangat menyedihkan
negative,<PROVIDER_NAME> makin bangsat kalau dibiarin
negative,<PROVIDER_NAME> memang bangsat gemas duh
negative,Signal <PROVIDER_NAME> Mentari makin lama makin memprihatinkan. Saatnya memikirkan untuk ganti kartu. Kecewa <PROVIDER_NAME>
negative,<PROVIDER_NAME> apakah <PROVIDER_NAME> lagi gangguan di daerah kramat jati? Sumpah sudah lelet banget padahal sudah 4g 
negative,"<PROVIDER_NAME> kenapa <PROVIDER_NAME> super lelet? 4g tp kecepatan 0,1 1 kb/s. gangguan atau gimana sih? "
negative,tai <PROVIDER_NAME>
negative,"Ya allah. Kalau hujan sinyal <PROVIDER_NAME> kaya lagunya Kotak ""Pelan Pelan Saja"""
negative,bikin kelar <PROVIDER_NAME> 
negative,<PROVIDER_NAME> Hooq sangat tidak bermanfaat. Beli kuota bisa menonton di youtube gak perlu Hooq #rugi <PRODUCT_NAME> #kuota <PROVIDER_NAME> 
negative,<PROVIDER_NAME>  Di daerahku udah 3 hari  trouble mulu
negative,"sisa 2 hari kuota <PROVIDER_NAME> <PROVIDER_NAME> tapi sudah dibilang habis, gimana ini!"
negative,Jaringan simpati anjir banget akhir2 ini. <PROVIDER_NAME>
negative,Dan terjadi lagi <PROVIDER_NAME> tai
positive,Untung pakai <PROVIDER_NAME> walaupun jauh dari rumah tapi Alhamdulillah semua urusan beres.
negative,jaringan <PROVIDER_NAME> flash untuk daerah aceh singkil kok gak stabil <PROVIDER_NAME>
negative,<PROVIDER_NAME> tarif mahal dengan sinyal parah.
negative,"Jadi, sudah seminggu ini saya digangguin sama bunyi SMS dari <PROVIDER_NAME>. Ada promo, katanya.? <URL> "
negative,Oh jariangan kenapa <PROVIDER_NAME>
negative,Tiap jam 12 malam ke atas hancur koneksinya <PROVIDER_NAME>
negative,Sedih saya kalau beli paket internet <PROVIDER_NAME>
positive,Hobi ngecek <PRODUCT_NAME> kali aja ada promo kuota internet buat penguna setia <PROVIDER_NAME> ternyata ada. Alhamdulillah rejeki anak biasa
negative,<PROVIDER_NAME> setelah dihack malah tambah mahal
negative,Jaringan lelet <PROVIDER_NAME>
negative,<PROVIDER_NAME> lagi gangguan ya??
negative,<PROVIDER_NAME> hancur jaringannya
negative,Setiap isi pulsa belum dipakai pasti hilang mohon pejelasannya buat <PROVIDER_NAME>
negative,<PROVIDER_NAME> memang bikin sebal 
negative,4G LTE <PROVIDER_NAME> sedang bermasalah
negative,<PROVIDER_NAME> luar biasa parah 2 hari cuma buang2 kuota... payah <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME>
positive,koneksinya makin lancar pakai <PROVIDER_NAME> 
positive,pakai sinyal <PROVIDER_NAME> lancar. <PROVIDER_NAME> memang yess!! 
positive,"Data-data kerja jadi lebih cepat dicari kalau internetnya pakai <PROVIDER_NAME>,"
positive,"<PROVIDER_NAME> memang juara, dari tadi nonton Youtube kuota masih full aja XD"
positive,Kenikmatan yang bisa didapatkan saat menjadi pengguna <PROVIDER_NAME> adalah menonton youtube gratis selama setahun
positive,Upload file yang besar juga sangat mudah dengan <PROVIDER_NAME>. Karena jaringan internetnya sangat cepat. Alhamdulillah
positive,"Untungnya pake <PROVIDER_NAME>, pekerjaan gua lancar :))"
positive,Siang ini nyoba bonus telpon pakai kartu <PROVIDER_NAME> baru. Aman lancar jaya suaranya meski cuaca hujan.
positive,"Pantesan lancar ya, sinyal <PROVIDER_NAME> yang 4G lancar sekali di lombok timur"
positive,Alhamdulillah lancar pakai <PROVIDER_NAME>
positive,"Untung pakai internet <PROVIDER_NAME>, lancar, jadi dapat banyak ide."
positive,"di tempat ramai seperti di lokasi wisata, <PROVIDER_NAME> tetap jaya."
negative,Sinyal <PROVIDER_NAME> amsyong d stadion gajayana
